transaction_id,step,transaction_type,amount,sender_account,sender_old_balance,sender_new_balance,recipient_account,recipient_old_balance,recipient_new_balance,is_suspicious
6869,19,CASH_OUT,283399.88,C752505,585712.22,302312.34,C582311,363641.08,647040.96,1
24017,17,TRANSFER,124445.32,C396372,414843.97,290398.65,C164246,700886.89,825332.21,0
9669,23,CASH_OUT,107884.29,C858071,688070.05,580185.76,C704199,313349.53,421233.82,0
13641,10,DEPOSIT,431060.49,C148301,906419.47,906419.47,M699638,102511.31,533571.8,0
14019,23,CASH_OUT,19332.23,C771625,327551.18,308218.95,C639441,121965.76,141297.99,0
7489,5,TRANSFER,177910.1,C356044,254706.19,76796.09,C971004,353683.24,531593.34,0
5805,27,CASH_OUT,452480.77,C978804,703489.74,251008.97,C771162,604277.79,1056758.56,1
12910,10,TRANSFER,434834.57,C440048,763244.84,328410.27,C220211,612369.5,1047204.07,1
3387,19,PAYMENT,242778.58,C897873,406836.21,164057.63,M867419,724598.01,724598.01,0
9568,11,CASH_OUT,137523.41,C643033,634957.98,497434.57,C388701,914417.35,1051940.76,0
21424,5,PAYMENT,50824.55,C586487,742385.93,691561.38,M547367,822133.87,822133.87,0
3504,22,DEPOSIT,185205.89,C108828,137596.15,137596.15,M414624,393761.92,578967.81,0
6658,4,PAYMENT,469515.73,C986922,650108.19,180592.46,M706705,622398.22,622398.22,0
19193,6,PAYMENT,43847.15,C956284,719832.47,675985.32,M424987,321041.27,321041.27,0
2519,30,PAYMENT,260391.91,C971697,235439.98,0,M783897,851377.21,851377.21,0
13362,26,TRANSFER,121045.98,C880055,283299.35,162253.37,C410972,598242.34,719288.32,0
21136,11,PAYMENT,167450.54,C473539,572532.54,405082,M986273,635548.69,635548.69,0
21081,29,PAYMENT,387546.96,C853495,468256.51,80709.55,M917864,536819.37,536819.37,0
6493,11,TRANSFER,4752.29,C944200,920656.14,915903.85,C543396,724250.96,729003.25,0
6892,9,PAYMENT,341118.67,C159850,813495.37,472376.7,M373374,642660.33,642660.33,0
7753,21,DEPOSIT,141928.55,C790265,274230.63,274230.63,M504983,444204.09,586132.64,0
8615,20,TRANSFER,10749.31,C806444,412156.15,401406.84,C691916,0,0,1
6650,29,PAYMENT,33966.45,C394518,106147.18,72180.73,M446807,849793.85,849793.85,0
2228,20,PAYMENT,121079.93,C894480,1447.22,0,M440787,625398.24,625398.24,0
12061,7,DEPOSIT,88786.65,C418449,409648.82,409648.82,M178463,919394.19,1008180.84,0
19123,21,TRANSFER,412304.34,C800891,278430.32,0,C719572,790401.18,1202705.52,1
9623,26,PAYMENT,460183.52,C372661,193108.27,0,M159111,467817.34,467817.34,0
12280,6,PAYMENT,429762.18,C902452,336275.98,0,M103188,683311.23,683311.23,0
16448,22,PAYMENT,223134.46,C385443,707911.64,484777.18,M560335,406507.5,406507.5,0
424,30,CASH_OUT,354916.44,C496562,514553.09,159636.65,C832224,0,0,1
14338,7,DEPOSIT,298620.72,C905935,311251.04,311251.04,M912903,273233.36,571854.08,0
22164,17,TRANSFER,475070.56,C535161,552137.86,77067.3,C921328,765751.83,1240822.39,1
19840,23,DEPOSIT,6539.16,C929159,422182.36,422182.36,M215434,40824.53,47363.69,0
12457,28,TRANSFER,455843.32,C698077,133676.11,0,C211541,290986.54,746829.86,1
10278,8,DEPOSIT,215643.5,C347922,770360.48,770360.48,M171116,426792.89,642436.39,0
23086,29,DEPOSIT,125489.87,C744970,458090.57,458090.57,M660342,126048.85,251538.72,0
1806,8,PAYMENT,368689.44,C602480,45982.42,0,M615949,496816.08,496816.08,0
2791,12,CASH_OUT,39897.16,C186169,862446.63,822549.47,C533030,830779.53,870676.69,0
24428,10,CASH_OUT,244799,C606644,172467.91,0,C940213,737829.22,982628.22,1
17717,7,PAYMENT,325695.66,C875611,320055.04,0,M380388,413854.77,413854.77,0
4973,5,CASH_OUT,361534.64,C691131,946955.7,585421.06,C836532,888293.3,1249827.94,1
7614,11,DEPOSIT,284508.57,C975626,106038.36,106038.36,M331265,34673.6,319182.17,0
17239,5,PAYMENT,103899.5,C500104,933994.76,830095.26,M903196,563701.56,563701.56,0
13571,17,PAYMENT,458966.16,C708587,602018.6,143052.44,M288888,6229.59,6229.59,0
7947,24,PAYMENT,350165.9,C833733,850112.41,499946.51,M924722,529443.42,529443.42,0
5101,1,PAYMENT,354068.53,C957582,395600.12,41531.59,M923834,809407.3,809407.3,0
23949,21,PAYMENT,216776.21,C974261,435254.89,218478.68,M228292,564290.09,564290.09,0
21183,13,PAYMENT,234418.36,C490059,760345.54,525927.18,M716840,738415.43,738415.43,0
734,23,PAYMENT,30599.33,C751110,939207.02,908607.69,M306840,207312.67,207312.67,0
18405,20,CASH_OUT,78563.88,C730241,702731.34,624167.46,C556426,941109.95,1019673.83,0
3849,7,PAYMENT,404988.38,C262773,508080.77,103092.39,M173226,10063.4,10063.4,0
22715,19,PAYMENT,326611.24,C771704,47607.02,0,M164987,447733.62,447733.62,0
9889,12,PAYMENT,121413.63,C549500,891477.41,770063.78,M566848,784103,784103,0
4406,28,PAYMENT,201084.66,C137329,355508.71,154424.05,M746108,215485.39,215485.39,0
22684,22,CASH_OUT,229111.72,C453912,782327.92,553216.2,C234440,341856.01,570967.73,1
3353,18,DEPOSIT,416649.15,C306408,139218.79,139218.79,M346841,912301.66,1328950.81,0
15192,16,PAYMENT,460058.12,C190799,379310.77,0,M296412,390721.48,390721.48,0
15695,17,PAYMENT,460938.87,C737604,516252.6,55313.73,M615945,725407.39,725407.39,0
19947,14,TRANSFER,68325.05,C823303,72539.51,4214.46,C285548,877113.74,945438.79,0
14355,29,PAYMENT,115757.27,C632203,350738.89,234981.62,M303386,797684.47,797684.47,0
21743,28,CASH_OUT,159504.49,C547844,715954.68,556450.19,C303374,710733.82,870238.31,0
18354,15,DEPOSIT,109847.69,C266199,340661.36,340661.36,M832357,65073.98,174921.67,0
17581,17,CASH_OUT,297497.57,C443208,288160.06,0,C563727,801807.66,1099305.23,1
22489,11,TRANSFER,203467.92,C993455,174017.26,0,C927771,741031.48,944499.4,1
14093,21,PAYMENT,467705.62,C715430,158371.85,0,M760236,809381.38,809381.38,0
20524,10,DEPOSIT,314730.3,C275289,402073.51,402073.51,M755428,580074.73,894805.03,0
3493,21,DEPOSIT,180015.93,C639125,833056.6,833056.6,M606991,105990.55,286006.48,0
19350,13,CASH_OUT,268925.97,C473246,242091.52,0,C210039,140738.72,409664.69,1
15658,10,PAYMENT,70104.33,C958797,127436.52,57332.19,M830019,633241.69,633241.69,0
